,source,target,relation
2,China Auto Logistics Inc,Ford,customers
3,China Auto Logistics Inc,Lexus,customers
4,China Auto Logistics Inc,Company,customers
7,China Auto Logistics Inc,Automobile Valued Added Services and Financing Services,customers
17,China Auto Logistics Inc,FASB,customers
18,China Auto Logistics Inc,ASU,customers
23,China Auto Logistics Inc,Financing Services and Other Services,customers
25,China Auto Logistics Inc,Company’s,customers
28,China Auto Logistics Inc,Agricultural Bank of China,customers
29,China Auto Logistics Inc,China Merchants Bank,customers
30,China Auto Logistics Inc,Pudong Development Bank,customers
31,China Auto Logistics Inc,China Zheshang Bank,customers
32,China Auto Logistics Inc,Industrial and Commercial Bank of China,customers
33,China Auto Logistics Inc,China Minsheng Bank,customers
34,China Auto Logistics Inc,Shengjing Bank,customers
36,China Auto Logistics Inc,Zhonghe,customers
41,China Auto Logistics Inc,Tianbao International Trade & Exhibition Ltd.,customers
47,China Auto Logistics Inc,the Zhonghe Acquisition,customers
70,China Auto Logistics Inc,Automall Ltd. Co.,customers
82,China Auto Logistics Inc,"Xing Kong Automobile Sales Service Co., Ltd.",customers
83,China Auto Logistics Inc,"Heng Ji Real Estate Development Co., Ltd.",customers
84,China Auto Logistics Inc,"Kong Automobile Sales Service Co., Ltd.",customers
0,China Auto Logistics Inc,Financing Services,dependent on
0,HK BATTERY TECHNOLOGY INC,Merger,Supply
1,HK BATTERY TECHNOLOGY INC,NGE,Supply
3,HK BATTERY TECHNOLOGY INC,"Nevada Gold Holdings, Inc.",Supply
0,"ISDERA NORTH AMERICA, INC.",Shenzhen Airlines,Supply
1,"ISDERA NORTH AMERICA, INC.","China Southern Airline Co., Ltd.",Supply
2,"ISDERA NORTH AMERICA, INC.",Hainan Airlines,Supply
3,"ISDERA NORTH AMERICA, INC.",China Eastern Airlines,Supply
4,"ISDERA NORTH AMERICA, INC.",TravelSky Technology Ltd,Supply
8,"ISDERA NORTH AMERICA, INC.","Shenzhen Huate Aire Service Co., Ltd.",Supply
9,"ISDERA NORTH AMERICA, INC.","Shenzhen Baiyun Air Service Co., Ltd.",Supply
11,"ISDERA NORTH AMERICA, INC.",Ministry of Commerce's,Supply
12,"ISDERA NORTH AMERICA, INC.",MOFCOM,Supply
13,"ISDERA NORTH AMERICA, INC.",Supplement,Supply
14,"ISDERA NORTH AMERICA, INC.","Eternal Asia Global Supply Chain Management Co., Ltd.",Supply
0,"ISDERA NORTH AMERICA, INC.",FeiLaiFa,customers
1,"ISDERA NORTH AMERICA, INC.",Company,customers
2,"ISDERA NORTH AMERICA, INC.",VIP,customers
3,"ISDERA NORTH AMERICA, INC.",Sales and Marketing,customers
4,"ISDERA NORTH AMERICA, INC.",Customer Service Center 99,customers
5,"ISDERA NORTH AMERICA, INC.",IT Department,customers
6,"ISDERA NORTH AMERICA, INC.",Business Trip Management,customers
8,"ISDERA NORTH AMERICA, INC.",Revenue Recognition,customers
10,"ISDERA NORTH AMERICA, INC.",Company’s,customers
0,XTREME GREEN ELECTRIC VEHICLES INC.,PMV,Supply
1,XTREME GREEN ELECTRIC VEHICLES INC.,the Index of Financial,Supply
2,XTREME GREEN ELECTRIC VEHICLES INC.,Company’s,Supply
3,XTREME GREEN ELECTRIC VEHICLES INC.,$ - Accrued,Supply
0,XTREME GREEN ELECTRIC VEHICLES INC.,Company,customers
1,XTREME GREEN ELECTRIC VEHICLES INC.,XGEV,customers
0,GENTEX CORP,Company,Supply
4,GENTEX CORP,BMW Group,Supply
5,GENTEX CORP,Daimler Group,Supply
6,GENTEX CORP,FCA Group,Supply
7,GENTEX CORP,Ford Motor Co.,Supply
8,GENTEX CORP,Geely/Volvo,Supply
9,GENTEX CORP,General Motors,Supply
10,GENTEX CORP,Honda Motor Co.,Supply
11,GENTEX CORP,Hyundai/Kia,Supply
12,GENTEX CORP,Jaguar/Land Rover,Supply
13,GENTEX CORP,Karma Automotive,Supply
14,GENTEX CORP,Mazda,Supply
15,GENTEX CORP,Mahindra & Mahindra,Supply
16,GENTEX CORP,McLaren,Supply
17,GENTEX CORP,PSA/Opel Group,Supply
18,GENTEX CORP,Renault,Supply
19,GENTEX CORP,Nissan/Mitsubishi Group,Supply
20,GENTEX CORP,Subaru,Supply
21,GENTEX CORP,Suzuki,Supply
22,GENTEX CORP,Tesla,Supply
23,GENTEX CORP,Toyota Motor Company,Supply
24,GENTEX CORP,Volkswagen Group,Supply
25,GENTEX CORP,Borgward,Supply
26,GENTEX CORP,BYD,Supply
27,GENTEX CORP,Chery,Supply
28,GENTEX CORP,SAIC,Supply
30,GENTEX CORP,Magna Mirrors,Supply
31,GENTEX CORP,Magna International Inc.,Supply
39,GENTEX CORP,IHS Markit Light Vehicle Production Forecast,Supply
40,GENTEX CORP,Tier 1,Supply
45,GENTEX CORP,Supply Chain Disruptions,Supply
49,GENTEX CORP,SmartBeam,Supply
51,GENTEX CORP,Company’s,Supply
55,GENTEX CORP,Toyota Motor Company Volkswagen Group,Supply
57,GENTEX CORP,Ford Motor Company,Supply
59,GENTEX CORP,OEM,Supply
60,GENTEX CORP,LTSA,Supply
61,GENTEX CORP,PO,Supply
62,GENTEX CORP,Boeing,Supply
0,GENTEX CORP,UNITED STATES SECURITIES AND EXCHANGE COMMISSION,customers
1,GENTEX CORP,Company,customers
4,GENTEX CORP,Volkswagen Group,customers
5,GENTEX CORP,Toyota Motor Company,customers
6,GENTEX CORP,General Motors,customers
7,GENTEX CORP,Tier 1,customers
13,GENTEX CORP,OEM,customers
16,GENTEX CORP,Subaru,customers
17,GENTEX CORP,Toyota,customers
18,GENTEX CORP,Nissan,customers
19,GENTEX CORP,Jaguar,customers
30,GENTEX CORP,Company’s,customers
42,GENTEX CORP,Automotive Products,customers
44,GENTEX CORP,Toyota Motor Company Volkswagen Group,customers
45,GENTEX CORP,Daimler Group,customers
46,GENTEX CORP,Ford Motor Company,customers
47,GENTEX CORP,LTSA,customers
48,GENTEX CORP,PO,customers
0,GENTEX CORP,Company,Sells to
1,GENTEX CORP,Magna Mirrors,Sells to
2,GENTEX CORP,Magna International Inc.,Sells to
5,GENTEX CORP,Volkswagen Group,Sells to
6,GENTEX CORP,Toyota Motor Company,Sells to
7,GENTEX CORP,General Motors,Sells to
11,GENTEX CORP,Automotive Products,Sells to
13,GENTEX CORP,Toyota Motor Company Volkswagen Group,Sells to
14,GENTEX CORP,Daimler Group,Sells to
15,GENTEX CORP,Ford Motor Company,Sells to
0,GENTEX CORP,Company,dependent on
0,Omnitek Engineering Corp,Omnitek,Supply
2,Omnitek Engineering Corp,OE,Supply
3,Omnitek Engineering Corp,Company,Supply
4,Omnitek Engineering Corp,Westport Innovations,Supply
5,Omnitek Engineering Corp,Bosch,Supply
6,Omnitek Engineering Corp,Keihin,Supply
7,Omnitek Engineering Corp,BRC,Supply
8,Omnitek Engineering Corp,OMVL,Supply
9,Omnitek Engineering Corp,Raw Materials and Principal Suppliers Omnitek,Supply
10,Omnitek Engineering Corp,CAA,Supply
11,Omnitek Engineering Corp,GMP,Supply
12,Omnitek Engineering Corp,Larsen Supply Company,Supply
0,Omnitek Engineering Corp,Omnitek,customers
1,Omnitek Engineering Corp,Company,customers
4,Omnitek Engineering Corp,the NASDAQ National Market System,customers
5,Omnitek Engineering Corp,the Securities and Exchange Commission,customers
6,Omnitek Engineering Corp,SEC,customers
0,Allison Transmission Holdings Inc,DOD,Supply
1,Allison Transmission Holdings Inc,"L3 Technologies, Inc.",Supply
2,Allison Transmission Holdings Inc,Renk AG,Supply
3,Allison Transmission Holdings Inc,SAPA S.p,Supply
4,Allison Transmission Holdings Inc,OEM,Supply
5,Allison Transmission Holdings Inc,PPAP,Supply
6,Allison Transmission Holdings Inc,Allison,Supply
7,Allison Transmission Holdings Inc,Company,Supply
9,Allison Transmission Holdings Inc,“C&R Tool and Engineering”,Supply
0,Allison Transmission Holdings Inc,MaximumMember,customers
1,Allison Transmission Holdings Inc,OEM,customers
3,Allison Transmission Holdings Inc,Allison,customers
11,Allison Transmission Holdings Inc,Daimler AG,customers
12,Allison Transmission Holdings Inc,PACCAR Inc.,customers
13,Allison Transmission Holdings Inc,Navistar International Corporation,customers
14,Allison Transmission Holdings Inc,Company,customers
0,Allison Transmission Holdings Inc,Defense,Sells to
2,Allison Transmission Holdings Inc,EBITDA,Sells to
3,Allison Transmission Holdings Inc,Adjusted EBITDA,Sells to
5,Allison Transmission Holdings Inc,the U.S. Government,Sells to
0,"SCORPION PERFORMANCE, INC.",Company,Supply
1,"SCORPION PERFORMANCE, INC.",Tier 1,Supply
2,"SCORPION PERFORMANCE, INC.",Tier 2,Supply
3,"SCORPION PERFORMANCE, INC.",SEC,Supply
4,"SCORPION PERFORMANCE, INC.",Report,Supply
5,"SCORPION PERFORMANCE, INC.",the Committee of Sponsoring Organizations of the Treadway Commission,Supply
6,"SCORPION PERFORMANCE, INC.",Internal Control-Integrated Framework,Supply
7,"SCORPION PERFORMANCE, INC.",COSO,Supply
8,"SCORPION PERFORMANCE, INC.",Internal Control over Financial Reporting - Guidance for Smaller Public Companies,Supply
9,"SCORPION PERFORMANCE, INC.",Scorpion’s,Supply
10,"SCORPION PERFORMANCE, INC.",Principal Accounting Officer,Supply
0,"SCORPION PERFORMANCE, INC.",Company,customers
1,"SCORPION PERFORMANCE, INC.",Scorpion Racing,customers
2,"SCORPION PERFORMANCE, INC.",Report,customers
3,"SCORPION PERFORMANCE, INC.",GM,customers
4,"SCORPION PERFORMANCE, INC.",Ford Racing,customers
5,"SCORPION PERFORMANCE, INC.",Mercury Marine,customers
6,"SCORPION PERFORMANCE, INC.",OEM,customers
14,"SCORPION PERFORMANCE, INC.",Company’s,customers
15,"SCORPION PERFORMANCE, INC.",Customers A and C,customers
0,"SCORPION PERFORMANCE, INC.",Company,dependent on
0,"UCI International, Inc.",Flexible Lamps Ltd.,Supply
1,"UCI International, Inc.",DIY,Supply
2,"UCI International, Inc.",AutoZone,Supply
3,"UCI International, Inc.",DIFM,Supply
4,"UCI International, Inc.",Alliance,Supply
5,"UCI International, Inc.",CARQUEST,Supply
11,"UCI International, Inc.",NAPA,Supply
13,"UCI International, Inc.",NAPA Excellence,Supply
14,"UCI International, Inc.",Automotive Distribution Network,Supply
15,"UCI International, Inc.",Aftermarket Auto Parts Alliance “Gold Level Supplier for Outstanding Shipping Performance 2007,Supply
16,"UCI International, Inc.",Aftermarket Auto Parts Alliance,Supply
17,"UCI International, Inc.",Valvoline,Supply
18,"UCI International, Inc.",Firestone,Supply
19,"UCI International, Inc.","Hovis Auto Supply, Inc.",Supply
20,"UCI International, Inc.",Robert Bosch LLC et al,Supply
21,"UCI International, Inc.",Independent Registered Public Accounting Firm 49 Consolidated       ,Supply
22,"UCI International, Inc.",Holdco,Supply
24,"UCI International, Inc.",Company,Supply
25,"UCI International, Inc.",LMC,Supply
0,"UCI International, Inc.","Advance Stores Company, Inc.",customers
1,"UCI International, Inc.","AutoZone, Inc.",customers
2,"UCI International, Inc.",AutoZone,customers
3,"UCI International, Inc.",Aftermarket Auto Parts Alliance (Alliance,customers
4,"UCI International, Inc.",AIM/CMB Marketing,customers
5,"UCI International, Inc.",Automotive Distribution Network,customers
6,"UCI International, Inc.","Auto Parts Associates, Inc.",customers
7,"UCI International, Inc.",APA,customers
8,"UCI International, Inc.",Auto Parts Professionals,customers
9,"UCI International, Inc.",CARQUEST Corporation,customers
10,"UCI International, Inc.",CARQUEST,customers
11,"UCI International, Inc.",Genuine Parts Company,customers
12,"UCI International, Inc.",NAPA,customers
13,"UCI International, Inc.",UAP,customers
14,"UCI International, Inc.",Independent Warehouse Distributors,customers
15,"UCI International, Inc.",IWD,customers
16,"UCI International, Inc.",National Pronto Association,customers
17,"UCI International, Inc.",Advance,customers
19,"UCI International, Inc.",Alliance,customers
22,"UCI International, Inc.",Airtex,customers
30,"UCI International, Inc.",NAPA Excellence,customers
32,"UCI International, Inc.",Aftermarket Auto Parts Alliance “Gold Level Supplier for Outstanding Shipping Performance 2007,customers
33,"UCI International, Inc.",Aftermarket Auto Parts Alliance,customers
34,"UCI International, Inc.",OES,customers
35,"UCI International, Inc.",GM,customers
36,"UCI International, Inc.",Ford,customers
37,"UCI International, Inc.",Chrysler,customers
38,"UCI International, Inc.",Kawasaki,customers
41,"UCI International, Inc.",General Motors,customers
46,"UCI International, Inc.",Holdco,customers
51,"UCI International, Inc.",Company,customers
52,"UCI International, Inc.",OEM,customers
54,"UCI International, Inc.",UCI,customers
0,"UCI International, Inc.",Valvoline,Sells to
1,"UCI International, Inc.",Firestone,Sells to
2,"UCI International, Inc.",AutoZone,Sells to
4,"UCI International, Inc.",General Motors Corporation,Sells to
5,"UCI International, Inc.",GM,Sells to
7,"UCI International, Inc.",Chrysler,Sells to
9,"UCI International, Inc.",OES,Sells to
13,"UCI International, Inc.",Holdco,Sells to
16,"UCI International, Inc.",The Hertz Corporation,Sells to
17,"UCI International, Inc.","Allison Transmission, Inc.",Sells to
19,"UCI International, Inc.",The Compensation Committee,Sells to
0,"UCI International, Inc.",UCI Acquisition,dependent on
1,"UCI International, Inc.",UCI,dependent on
3,"UCI International, Inc.",Holdco,dependent on
0,"Blink Technologies, Inc.",NON,Supply
0,"Blink Technologies, Inc.",FINRA,customers
3,"Blink Technologies, Inc.",Company,customers
4,"Blink Technologies, Inc.",CFO,customers
0,Federal-Mogul Holdings LLC,TRW,Supply
1,Federal-Mogul Holdings LLC,OE,Supply
5,Federal-Mogul Holdings LLC,the Consolidated Financial Statements,Supply
6,Federal-Mogul Holdings LLC,Tier 1,Supply
7,Federal-Mogul Holdings LLC,Company’s,Supply
8,Federal-Mogul Holdings LLC,Company,Supply
18,Federal-Mogul Holdings LLC,Powertrain,Supply
0,Federal-Mogul Holdings LLC,OE,customers
2,Federal-Mogul Holdings LLC,Motorparts,customers
3,Federal-Mogul Holdings LLC,Powertrain,customers
6,Federal-Mogul Holdings LLC,TRW,customers
8,Federal-Mogul Holdings LLC,Powertrain’s,customers
11,Federal-Mogul Holdings LLC,Valve Seats,customers
12,Federal-Mogul Holdings LLC,Motorparts’,customers
14,Federal-Mogul Holdings LLC,Focus on Vehicle Safety – Vehicle,customers
22,Federal-Mogul Holdings LLC,Company,customers
23,Federal-Mogul Holdings LLC,Company’s,customers
29,Federal-Mogul Holdings LLC,Tier 1,customers
42,Federal-Mogul Holdings LLC,OEs,customers
45,Federal-Mogul Holdings LLC,DuroGlide,customers
46,Federal-Mogul Holdings LLC,SG&A,customers
50,Federal-Mogul Holdings LLC,Revenue Recognition,customers
51,Federal-Mogul Holdings LLC,ASU,customers
60,Federal-Mogul Holdings LLC,IAC Group,customers
0,Federal-Mogul Holdings LLC,Motorparts’,Sells to
1,Federal-Mogul Holdings LLC,PSC Metals,Sells to
2,Federal-Mogul Holdings LLC,OE,Sells to
3,Federal-Mogul Holdings LLC,Company,Sells to
7,Federal-Mogul Holdings LLC,Navistar,Sells to
0,Federal-Mogul Holdings LLC,CONSOLIDATED FINANCIAL,dependent on
0,Workhorse Group Inc.,EnerDel,Supply
1,Workhorse Group Inc.,Company,Supply
2,Workhorse Group Inc.,the United Nations Manual of Tests and Criteria,Supply
0,Workhorse Group Inc.,ArosaMember,customers
1,Workhorse Group Inc.,Company,customers
2,Workhorse Group Inc.,"Ryder System, Inc.",customers
3,Workhorse Group Inc.,Ryder,customers
4,Workhorse Group Inc.,UPS,customers
5,Workhorse Group Inc.,FedEx Express,customers
6,Workhorse Group Inc.,Alpha Baking,customers
8,Workhorse Group Inc.,Workhorse,customers
10,Workhorse Group Inc.,EnerDel,customers
12,Workhorse Group Inc.,Duke Energy Corp,customers
13,Workhorse Group Inc.,Duke,customers
20,Workhorse Group Inc.,Ford,customers
21,Workhorse Group Inc.,Freightliner,customers
22,Workhorse Group Inc.,Google,customers
23,Workhorse Group Inc.,Amazon,customers
31,Workhorse Group Inc.,Vehicles,customers
32,Workhorse Group Inc.,LMC,customers
0,T3M INC.,"American Made, Performance Composites",Supply
1,T3M INC.,Imperial Electric,Supply
2,T3M INC.,Santa Fe Mold,Supply
3,T3M INC.,T3 Motion,Supply
4,T3M INC.,Paradigm Wireless Company,Supply
5,T3M INC.,Aircept,Supply
6,T3M INC.,the Global Positioning System,Supply
7,T3M INC.,Evolutionary Electric Vehicles,Supply
0,T3M INC.,T3,customers
1,T3M INC.,Company,customers
2,T3M INC.,The Loan Facility,customers
3,T3M INC.,T3 Motion,customers
0,T3M INC.,T3,Sells to
1,T3M INC.,"Segway, Inc",Sells to
0,eFleets Corp,Target Markets,customers
1,eFleets Corp,The Department of Defense,customers
2,eFleets Corp,Toyota,customers
3,eFleets Corp,Honda,customers
0,eFleets Corp,Company,dependent on
0,"Dongsheng Pharmaceutical International Co., Ltd.",Aode Pharmaceutical,Supply
1,"Dongsheng Pharmaceutical International Co., Ltd.",Hebei Furuide Pharmaceutical,Supply
2,"Dongsheng Pharmaceutical International Co., Ltd.",Beijing Guorun Pharmaceutical Co.,Supply
3,"Dongsheng Pharmaceutical International Co., Ltd.",Dongsheng,Supply
4,"Dongsheng Pharmaceutical International Co., Ltd.",Ganglioside,Supply
5,"Dongsheng Pharmaceutical International Co., Ltd.",Qilu Pharmaceutical,Supply
6,"Dongsheng Pharmaceutical International Co., Ltd.",Harbin Medical University Pharmaceutical,Supply
8,"Dongsheng Pharmaceutical International Co., Ltd.",State Food and Drug Administration,Supply
9,"Dongsheng Pharmaceutical International Co., Ltd.",SFDA,Supply
11,"Dongsheng Pharmaceutical International Co., Ltd.",Increase Production Capability,Supply
12,"Dongsheng Pharmaceutical International Co., Ltd.",the Delaware General Corporation Law,Supply
0,"Dongsheng Pharmaceutical International Co., Ltd.",Dongsheng,customers
1,"Dongsheng Pharmaceutical International Co., Ltd.",Company,customers
2,"Dongsheng Pharmaceutical International Co., Ltd.",Hezhong Huitong Pharmaceutical,customers
3,"Dongsheng Pharmaceutical International Co., Ltd.",Jieshou City Medical Co.,customers
0,"Dongsheng Pharmaceutical International Co., Ltd.",Company,dependent on
0,"Echo Automotive, Inc.",General Motors,Supply
0,"Echo Automotive, Inc.",EchoDriveTM,customers
1,"Echo Automotive, Inc.",EchoDrive,customers
7,"Echo Automotive, Inc.",FINRA,customers
0,"Echo Automotive, Inc.",UFF,Sells to
3,"Echo Automotive, Inc.",JMJ Financial,Sells to
4,"Echo Automotive, Inc.",Vista Capital Investments,Sells to
5,"Echo Automotive, Inc.",LLC,Sells to
6,"Echo Automotive, Inc.",LG Capital,Sells to
7,"Echo Automotive, Inc.",Typenex Co-Investment,Sells to
9,"Echo Automotive, Inc.",GEL Properties,Sells to
10,"Echo Automotive, Inc.",Asher Enterprises,Sells to
0,"Echo Automotive, Inc.",EchoDrive,dependent on
0,"EVCARCO, INC.",Company,Supply
1,"EVCARCO, INC.",NIKOLAY,Supply
0,"EVCARCO, INC.",FINRA,customers
3,"EVCARCO, INC.",Company,customers
0,"EVCARCO, INC.",Company,Sells to
0,"FUEL DOCTOR HOLDINGS, INC.",Internal Control – Integrated Framework,Supply
1,"FUEL DOCTOR HOLDINGS, INC.",the Committee of Sponsoring Organizations of the Treadway Commission,Supply
2,"FUEL DOCTOR HOLDINGS, INC.",COSO,Supply
3,"FUEL DOCTOR HOLDINGS, INC.",Internal Control over Financial Reporting – Guidance for Smaller Public Companies,Supply
4,"FUEL DOCTOR HOLDINGS, INC.",Sweda Co. LLC,Supply
0,"FUEL DOCTOR HOLDINGS, INC.",Company,customers
3,"FUEL DOCTOR HOLDINGS, INC.",the Company a Purchase Order,customers
4,"FUEL DOCTOR HOLDINGS, INC.",Report,customers
5,"FUEL DOCTOR HOLDINGS, INC.",Consumer Reports,customers
7,"FUEL DOCTOR HOLDINGS, INC.",Scorpion’s,customers
8,"FUEL DOCTOR HOLDINGS, INC.",HBO,customers
9,"FUEL DOCTOR HOLDINGS, INC.",Poker Stars,customers
10,"FUEL DOCTOR HOLDINGS, INC.",Carnival Cruise Lines,customers
11,"FUEL DOCTOR HOLDINGS, INC.",Abbot Laboratories,customers
12,"FUEL DOCTOR HOLDINGS, INC.",Bloomberg Financial,customers
13,"FUEL DOCTOR HOLDINGS, INC.",Bank Overdraft - - Customer,customers
0,General Motors Co,GmnaMember,Supply
1,General Motors Co,"Design, Program Management",Supply
2,General Motors Co,Component & Subsystem Engineering,Supply
3,General Motors Co,Product Integrity,Supply
4,General Motors Co,Safety,Supply
5,General Motors Co,Propulsion Systems and Purchasing & Supply Chain,Supply
6,General Motors Co,"Raw Materials, Services",Supply
7,General Motors Co,DTE Energy Company,Supply
8,General Motors Co,Global Product Development,Supply
9,General Motors Co,"Global Product Development, Purchasing & Supply Chain",Supply
10,General Motors Co,GM Financial,Supply
12,General Motors Co,the Personal Identifiable Information,Supply
13,General Motors Co,SEC,Supply
15,General Motors Co,GMNA,Supply
16,General Motors Co,PSA Group,Supply
17,General Motors Co,GM Cruise Holdings LLC,Supply
18,General Motors Co,Honda Motor Co.,Supply
19,General Motors Co,Incorporated,Supply
20,General Motors Co,the Current Report on Form 8-K,Supply
21,General Motors Co,Incorporated by Reference,Supply
23,General Motors Co,the Bank of New York Mellon,Supply
24,General Motors Co,Trustee,Supply
33,General Motors Co,The Bank of New York Mellon,Supply
48,General Motors Co,the United States Department,Supply
49,General Motors Co,Treasury,Supply
50,General Motors Co,Canada GEN Investment Corporation,Supply
51,General Motors Co,7176384 Canada Inc.,Supply
52,General Motors Co,General Motors LLC,Supply
54,General Motors Co,SMVP) Supplement,Supply
55,General Motors Co,the Annual Report on Form 10-K of Motors Liquidation Company,Supply
0,General Motors Co,MaximumMember,customers
2,General Motors Co,MinimumMember,customers
4,General Motors Co,GM North America,customers
5,General Motors Co,GMNA,customers
6,General Motors Co,GM International,customers
7,General Motors Co,GMI,customers
9,General Motors Co,Buick,customers
10,General Motors Co,Cadillac,customers
11,General Motors Co,Chevrolet,customers
12,General Motors Co,GMC,customers
18,General Motors Co,Holden,customers
19,General Motors Co,Baojun,customers
23,General Motors Co,GM Financial,customers
24,General Motors Co,"Design, Program Management",customers
25,General Motors Co,Component & Subsystem Engineering,customers
26,General Motors Co,Product Integrity,customers
27,General Motors Co,Safety,customers
28,General Motors Co,Propulsion Systems and Purchasing & Supply Chain,customers
29,General Motors Co,FlexFuel,customers
30,General Motors Co,OnStar,customers
31,General Motors Co,Customer Care,customers
34,General Motors Co,GM,customers
35,General Motors Co,the Personal Identifiable Information,customers
38,General Motors Co,GM Financial’s,customers
41,General Motors Co,EBIT,customers
42,General Motors Co,GM Financial Equipment on Operating Leases Assets,customers
43,General Motors Co,Residuals GM Financial,customers
44,General Motors Co,SEC,customers
46,General Motors Co,Company,customers
47,General Motors Co,ASU,customers
52,General Motors Co,CONSOLIDATED FINANCIAL,customers
53,General Motors Co,Automotive,customers
57,General Motors Co,Dealer,customers
59,General Motors Co,Warranties,customers
0,General Motors Co,GM,Sells to
1,General Motors Co,the U.S. Government,Sells to
0,General Motors Co,GM Financial's,dependent on
0,"Tower International, Inc.",OEM,Supply
2,"Tower International, Inc.",Company,Supply
0,"Tower International, Inc.",OEM,customers
1,"Tower International, Inc.",Composition of Revenues Customers,customers
2,"Tower International, Inc.",Ford,customers
3,"Tower International, Inc.",Fiat-Chrysler,customers
4,"Tower International, Inc.",Nissan,customers
5,"Tower International, Inc.",Toyota,customers
6,"Tower International, Inc.",BMW,customers
7,"Tower International, Inc.",IHS,customers
8,"Tower International, Inc.",EBITDA,customers
9,"Tower International, Inc.",ASU,customers
10,"Tower International, Inc.",Company,customers
15,"Tower International, Inc.",the Consolidated Balance Sheets,customers
22,"Tower International, Inc.",FASB,customers
27,"Tower International, Inc.",Company’s,customers
0,RVPlus Inc.,ECM,Supply
1,RVPlus Inc.,Auto Brake,Supply
2,RVPlus Inc.,P&L,Supply
0,RVPlus Inc.,Each Auto Brake,customers
1,RVPlus Inc.,SSL,customers
2,RVPlus Inc.,P&L,customers
0,"Enerpulse Technologies, Inc.",Enerpulse’s n-PAC,Supply
1,"Enerpulse Technologies, Inc.",the Sarbanes-Oxley Act,Supply
2,"Enerpulse Technologies, Inc.",the Public Company Accounting Oversight Board,Supply
3,"Enerpulse Technologies, Inc.",Independent Registered Public Accounting Firm 35 Consolidated,Supply
4,"Enerpulse Technologies, Inc.","Cook’s Direct, Inc.",Supply
5,"Enerpulse Technologies, Inc.","Gander Mountain, Inc.",Supply
6,"Enerpulse Technologies, Inc.",McMaster Carr Supply Company,Supply
0,"Enerpulse Technologies, Inc.",OEM,customers
1,"Enerpulse Technologies, Inc.",FINRA,customers
3,"Enerpulse Technologies, Inc.",ASU,customers
0,"Enerpulse Technologies, Inc.",Natural Gas,Sells to
0,Green Automotive Co,Zotye,Supply
2,Green Automotive Co,EV,Supply
3,Green Automotive Co,LEC,Supply
4,Green Automotive Co,UPS,Supply
5,Green Automotive Co,the U.S. Department of Transportation,Supply
6,Green Automotive Co,the U.S. Federal Motor Vehicle Safety Standards,Supply
7,Green Automotive Co,UQM,Supply
8,Green Automotive Co,HPEV,Supply
9,Green Automotive Co,Don Brown Bus Sales,Supply
10,Green Automotive Co,the Sarbanes-Oxley Act,Supply
11,Green Automotive Co,the Dodd-Frank Act,Supply
12,Green Automotive Co,the Public Company Accounting Oversight Board,Supply
15,Green Automotive Co,Municipal Transit Buses,Supply
16,Green Automotive Co,School Buses,Supply
17,Green Automotive Co,Limousines,Supply
18,Green Automotive Co,“Mass-Transit Vehicles”,Supply
19,Green Automotive Co,this Annual Report,Supply
20,Green Automotive Co,Item,Supply
21,Green Automotive Co,Brammo,Supply
22,Green Automotive Co,Brammo Digital Drivetrain,Supply
23,Green Automotive Co,Brammo Power,Supply
0,Green Automotive Co,Navistar,customers
1,Green Automotive Co,LEC’s,customers
2,Green Automotive Co,NCI,customers
3,Green Automotive Co,CNG,customers
4,Green Automotive Co,"Don Brown Bus Sales, Inc.",customers
5,Green Automotive Co,LEC,customers
6,Green Automotive Co,UPS,customers
0,Green Automotive Co,NCI,Sells to
1,Green Automotive Co,"Don Brown Bus Sales, Inc.",Sells to
2,Green Automotive Co,GAC,Sells to
0,FCA US LLC,SCUSA,Supply
1,FCA US LLC,Ally,Supply
2,FCA US LLC,FCA,Supply
3,FCA US LLC,Santander Consumer USA Inc.,Supply
5,FCA US LLC,Ally Financial Inc.,Supply
8,FCA US LLC,Supplementary Foreign Currency Administrative System,Supply
9,FCA US LLC,SICAD,Supply
10,FCA US LLC,MOU,Supply
11,FCA US LLC,UAW,Supply
13,FCA US LLC,WCM,Supply
14,FCA US LLC,Revenues,Supply
15,FCA US LLC,Supplementary Foreign Currency Administration System,Supply
22,FCA US LLC,the International Union,Supply
23,FCA US LLC,United Automobile,Supply
24,FCA US LLC,Aerospace and Agricultural Implement Workers of America,Supply
37,FCA US LLC,Company,Supply
38,FCA US LLC,Wilmington Trust National Association,Supply
39,FCA US LLC,Wilmington Trust FSB,Supply
40,FCA US LLC,Citibank,Supply
41,FCA US LLC,SEC,Supply
0,FCA US LLC,FCA,customers
1,FCA US LLC,the “Mopar Vehicle Protection”,customers
2,FCA US LLC,Mopar,customers
3,FCA US LLC,"Santander Consumer USA, Inc.",customers
4,FCA US LLC,SCUSA,customers
6,FCA US LLC,Chrysler,customers
8,FCA US LLC,USD,customers
11,FCA US LLC,Ally,customers
17,FCA US LLC,Jeep,customers
18,FCA US LLC,Dodge,customers
19,FCA US LLC,SRT,customers
22,FCA US LLC,Jeep Liberty,customers
32,FCA US LLC,FASB,customers
0,FCA US LLC,OPEB,Sells to
1,FCA US LLC,FCA,Sells to
0,FCA US LLC,General Motors Company,dependent on
1,FCA US LLC,Ford Motor Company,dependent on
2,FCA US LLC,Toyota Motor Corporation,dependent on
3,FCA US LLC,FCA,dependent on
4,FCA US LLC,SCUSA,dependent on
